img,rating,reviews,manufacturer,title,model,price,shipping_price,original_price
https://c1.neweggimages.com/productimage/nb300/14-932-306-S01.jpg,5.0,2,GIGABYTE,REFURBISHED GIGABYTE AORUS Radeon RX 5700 XT 8GB GDDR6 PCI Express 4.0 x16 ATX Graphics Card GV-R57XTAORUS-8GD,GV-R57XTAORUS-8GD,329.0,60.0,329.0
https://c1.neweggimages.com/productimage/nb300/BP4YS2503080JGQRHDC.jpg,5.0,2,Sapphire Tech,SAPPHIRE Tech NITRO+ Radeon RX 7900 XTX 24GB GDDR6 PCI Express 4.0 x16 ATX Video Card 11322-01-40G,NITRO+ 7900XTX,1272.0,0.0,1272.0
https://c1.neweggimages.com/productimage/nb300/14-126-745-01.png,4.6,77,ASUS,ASUS TUF Gaming Radeon RX 9070 XT 16GB 256-Bit GDDR6 PCI Express 5.0 RDNA 4 Graphics Card TUF-RX9070XT-O16G-GAMING,TUF-RX9070XT-O16G-GAMING,1218.9,0.0,1218.9
https://c1.neweggimages.com/productimage/nb300/AJEPS2507051DP8XU89.jpg,0.0,0,ASUS,"REFURBISHED ASUS Dual GeForce RTX 4060 Ti V2 OC Edition (PCIe 4.0, 8GB GDDR6, DLSS 3, HDMI 2.1a, DisplayPort 1.4a, 2-slot design, Axial-tech fan design, 0dB technology) DUAL-RTX4060TI-O8G-V2",DUAL-RTX4060TI-O8G-V2,339.99,0.0,339.99
https://c1.neweggimages.com/productimage/nb300/14-487-247-S99.jpg,4.5,1017,Unknown,"EVGA GeForce GTX 1070 Founders Edition, 08G-P4-6170-KR, 8GB GDDR5, LED, DX12 OSD Support (PXOC)",08G-P4-6170-KR,269.0,0.0,269.0
https://c1.neweggimages.com/productimage/nb300/BP4YS25051803AMT33A.jpg,0.0,0,ASUS,"ASUS ROG Strix GeForce RTX 4090 OC Edition Gaming Graphics Card (PCIe 4.0, 24GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) ROG-STRIX-RTX4090-O24G-GAMING",ROG-STRIX-RTX4090-O24G-GAMING OC,3765.0,0.0,3765.0
https://c1.neweggimages.com/productimage/nb300/14-930-052-02.jpg,0.0,0,ASRock,"REFURBISHED ASRock Radeon RX 6900 XT PHANTOM GAMING D Graphics Card 16GB GDDR6, AMD RDNA2 (RX6900XT PGD 16GO)",RX6900XT PGD 16GO,449.99,0.0,449.99
https://c1.neweggimages.com/productimage/nb300/14-932-459-02.jpg,0.0,0,GIGABYTE,REFURBISHED GIGABYTE Gaming OC GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080GAMING OC-10GD (rev. 2.0) (LHR),GV-N3080GAMING OC-10GD REV2,399.99,0.0,399.99
https://c1.neweggimages.com/productimage/nb300/14-126-800-01.png,4.6,51,ASUS,ASUS TUF Gaming GeForce RTX 5060 8GB GDDR7 PCI Express 5.0 x8 ATX Graphics Card TUF-RTX5060-O8G-GAMING,TUF-RTX5060-O8G-GAMING,569.99,0.0,569.99
https://c1.neweggimages.com/productimage/nb300/14-126-665-V02.jpg,4.8,106,ASUS,"ASUS Dual GeForce RTX 4060 OC Edition 8GB GDDR6 (PCIe 4.0, 8GB GDDR6, DLSS 3, HDMI 2.1a, DisplayPort 1.4a, 2.5-slot design, Axial-tech fan design, 0dB technology) DUAL-RTX4060-O8G",DUAL-RTX4060-O8G,542.0,0.0,542.0
