img,rating,reviews,manufacturer,title,model,price,shipping_price,original_price,memory,price_per_gb,series,generation
https://c1.neweggimages.com/productimage/nb300/AWVGS2109205A834.jpg,5.0,1,GIGABYTE,Gigabyte GeForce RTX 3080 Turbo 10GB V2,GV-N3080TURBO-10GD-REV2.0,580.0,0.0,580.0,10.0,58.0,RTX 3080,RTX 3000
https://c1.neweggimages.com/productimage/nb300/AWZTS210406kbfx3.jpg,5.0,2,GIGABYTE,GIGABYTE GeForce GT 1030 OC GDDR5 DirectX 12 GV-N1030OC-2GI 2GB 64-Bit PCI Express 3.0 x16 Video Card,768697041019,198.0,0.0,198.0,2.0,99.0,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-137-401-Z01.jpg,4.6,212,MSI,MSI GeForce GTX 1660 6GB GDDR5 PCI Express 3.0 x16 Graphics Card GTX 1660 GAMING X 6G,GTX 1660 GAMING X 6G,365.0,0.0,398.0,6.0,60.833333333333336,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-932-359-V06.jpg,4.6,669,GIGABYTE,"GIGABYTE AORUS GeForce RTX 3070 MASTER 8GB Video Card, GV-N3070AORUS M-8GD",GV-N3070AORUS M-8GD,735.0,0.0,735.0,8.0,91.875,RTX 3070,RTX 3000
https://c1.neweggimages.com/productimage/nb300/14-932-322-V01.jpg,4.2,63,GIGABYTE,GIGABYTE Radeon RX 5700 XT 8GB GDDR6 PCI Express 4.0 x16 ATX Graphics Card GV-R57XTGAMING OC-8GD (rev. 2.0),GVR57XTGAMINGOC8GDV2,675.0,0.0,675.0,8.0,84.375,RX 5700,RX 5000
https://c1.neweggimages.com/productimage/nb300/14-127-545-02.jpg,4.3,76,MSI,MSI Radeon HD 6870 1GB GDDR5 PCI Express 2.1 x16 CrossFireX Support Graphics Card R6870 Twin Frozr II,R6870 Twin Frozr II,286.0,0.0,286.0,1.0,286.0,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-487-050-02.jpg,4.3,99,Unknown,EVGA GeForce GT 730 1GB GDDR5 PCI Express 2.0 Graphics Card 01G-P3-3736-KR,01G-P3-3736-KR,104.99,0.0,104.99,1.0,104.99,Other,Other
https://c1.neweggimages.com/productimage/nb300/AVWRS2401260DG9IG74.jpg,3.0,2,Unknown,PELADN RX 550 4GB Video Card GDDR5 1183MHz 512processors PCI Express 3.0 video cards DirectX12 HDMI+DP+DVI Gaming Graphics Card,PELADN RX 550,99.0,0.0,99.0,4.0,24.75,RX 550,RX 500
https://c1.neweggimages.com/productimage/nb300/14-137-969-03.jpg,4.9,21,MSI,MSI Gaming GeForce RTX 5060 8GB GDDR7 PCI Express 5.0 x 16 (use x8) Graphics Card RTX 5060 8G GAMING TRIO OC WHITE,RTX 5060 8G GAMING TRIO OC WHITE,677.06,0.0,677.06,8.0,84.6325,RTX 5060,RTX 5000
https://c1.neweggimages.com/productimage/nb300/14-126-520-01.jpg,4.8,80,ASUS,ASUS TUF Gaming GeForce RTX 3060 Ti V2 OC Edition 8GB GDDR6 PCI Express 4.0 Video Card TUF-RTX3060TI-O8G-V2-GAMING (LHR),TUF-3060TI-O8G-V2-GA,530.0,0.0,530.0,8.0,66.25,RTX 3060,RTX 3000
https://c1.neweggimages.com/productimage/nb300/AZUES240422080CL024.jpg,3.8,5,Unknown,Yeston Radeon RX 7700 XT 12G GDDR6 video cards Desktop computer PC Video Graphics Cards support PCI-Express 4.0 3*DP+1*HDMI-compatible RGB light effect Fragrant graphics card RX 7700XT,RX7700XT-12G SA,569.0,0.0,579.0,12.0,47.416666666666664,RX 7700,RX 7000
https://c1.neweggimages.com/productimage/nb300/14-137-328-V01.jpg,3.5,2,MSI,MSI Radeon RX Vega 56 8GB HBM2 PCI Express x16 CrossFireX Support Graphics Card Vega 56 AIR BOOST 8G,Vega 56 AIR BOOST 8G,329.0,0.0,329.0,8.0,41.125,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-126-122-V02.jpg,4.0,84,ASUS,ASUS GeForce GTX 1060 6GB GDDR5 PCI Express 3.0 Graphics Card DUAL-GTX1060-O6G,DUAL-GTX1060-O6G,399.0,0.0,399.0,6.0,66.5,Other,Other
https://c1.neweggimages.com/productimage/nb300/AA4T_131717391380747831GrEgkiW19l.jpg,5.0,1,NVIDIA,HP nVidia Tesla P40 GPU 24GB GDDR5 PCIE x16 870919-001 872323-001 Q0V80A,Q0V80A,425.99,0.0,425.99,24.0,17.749583333333334,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-137-797-01.jpg,5.0,11,MSI,MSI Gaming GeForce RTX 4060 Ti 8GB GDDR6 PCI Express 4.0 x8 ATX Graphics Card RTX 4060 Ti GAMING X 8G,RTX 4060 Ti GAMING X 8G,620.79,0.0,620.79,8.0,77.59875,RTX 4060,RTX 4000
https://c1.neweggimages.com/productimage/nb300/14-932-287-V03.jpg,4.4,12,GIGABYTE,GIGABYTE GeForce GTX 1650 4GB GDDR6 PCI Express 3.0 x16 mini-ITX Graphics Card GV-N1656OC-4GD,GV-N1656OC-4GD,340.0,0.0,340.0,4.0,85.0,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-932-808-03.jpg,4.8,158,GIGABYTE,GIGABYTE Gaming Radeon RX 9060 XT 16GB GDDR6 PCI Express 5.0 x16 ATX Graphics Card GV-R9060XTGAMING-16GD RX 9060XT,GV-R9060XTGAMING-16GD,759.0,0.0,759.0,16.0,47.4375,RX 9060,RX 9000
https://c1.neweggimages.com/productimage/nb300/14-150-861-V01.jpg,4.5,76,XFX,XFX SPEEDSTER SWFT210 Radeon RX 6600 XT 8GB GDDR6 PCI Express 4.0 Graphics Card RX-66XT8DFDQ,RX-66XT8DFDQ,599.0,0.0,599.0,8.0,74.875,RX 6600,RX 6000
https://c1.neweggimages.com/productimage/nb300/14-932-449-01.jpg,4.6,200,GIGABYTE,GIGABYTE Gaming OC GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3070GAMING OC-8GD (rev. 2.0) (LHR),GV-N3070GAMING OC-8G,555.84,0.0,555.84,8.0,69.48,RTX 3070,RTX 3000
https://c1.neweggimages.com/productimage/nb300/14-126-446-V01.jpg,4.5,23,ASUS,ASUS Phoenix GeForce GTX 1650 4GB GDDR6 PCI Express 3.0 Graphics Card PH-GTX1650-O4GD6,PH-GTX1650-O4GD6,260.93,0.0,260.93,4.0,65.2325,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-121-710-04.jpg,4.1,18,ASUS,ASUS GeForce GTX 650 1GB GDDR5 PCI Express 3.0 x16 Graphics Card GTX650-E-1GD5,GTX650-E-1GD5,247.0,0.0,247.0,1.0,247.0,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-137-762-38.jpg,4.6,462,MSI,MSI Gaming GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 Graphics Card RTX 4090 GAMING TRIO 24G,RTX 4090 GAMING TRIO 24G,3495.0,0.0,3495.0,24.0,145.625,RTX 4090,RTX 4000
https://c1.neweggimages.com/productimage/nb300/14-126-468-V15.jpg,4.5,27,ASUS,ASUS Dual GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Graphics Card DUAL-RTX3060TI-O8G,DUAL-RTX3060TI-O8G,569.0,0.0,569.0,8.0,71.125,RTX 3060,RTX 3000
https://c1.neweggimages.com/productimage/nb300/14-131-787-V08.jpg,5.0,1,PowerColor,PowerColor Hellhound Radeon RX 6600 XT 8GB GDDR6 PCI Express 4.0 ATX Graphics Card 6600XT 8GBD6-3DHL/OC,6600XT 8GBD6-3DHL/OC,479.0,0.0,479.0,8.0,59.875,RX 6600,RX 6000
https://c1.neweggimages.com/productimage/nb300/AZUES211020C562E.jpg,4.7,3,Unknown,Yeston Radeon RX 550 4GB GDDR5 1183MHz 512processors PCIExpress 3.0 DirectX12 video cards Double slot DP+HDMI compatible +DVI-D graphics card of Desktop,Yeston RX550 4GD5 TD,129.0,0.0,129.0,4.0,32.25,RX 550,RX 500
